year,month,co2_concentration,ch4_concentration,co2e,decimal_year
1990,5,357.38,1.71066,400.1465,1990.3333333333333
1990,6,356.39,1.70845,399.10125,1990.4166666666667
1990,7,354.89,1.7065599999999999,397.554,1990.5
1990,8,353.06,1.71024,395.81600000000003,1990.5833333333333
1990,9,351.38,1.7175799999999999,394.3195,1990.6666666666667
1990,10,351.69,1.722,394.74,1990.75
1990,11,353.14,1.7234800000000001,396.227,1990.8333333333333
1990,12,354.41,1.7233,397.4925,1990.9166666666667
1991,1,354.93,1.72157,397.96925,1991.0
1991,2,355.82,1.72124,398.851,1991.0833333333333
1991,3,357.33,1.7220499999999999,400.38124999999997,1991.1666666666667
1991,4,358.77,1.72239,401.82975,1991.25
1991,5,359.23,1.7220799999999998,402.28200000000004,1991.3333333333333
1991,6,358.23,1.7188599999999998,401.2015,1991.4166666666667
1991,7,356.3,1.71596,399.199,1991.5
1991,8,353.97,1.7191400000000001,396.9485,1991.5833333333333
1991,9,352.34,1.72604,395.491,1991.6666666666667
1991,10,352.43,1.7327000000000001,395.7475,1991.75
1991,11,353.89,1.73748,397.327,1991.8333333333333
1991,12,355.21,1.73958,398.6995,1991.9166666666667
1992,1,356.34,1.73893,399.81325,1992.0
1992,2,357.21,1.7373800000000001,400.6445,1992.0833333333333
1992,3,357.97,1.7369100000000002,401.39275000000004,1992.1666666666667
1992,4,359.22,1.73665,402.63625,1992.25
1992,5,359.71,1.73498,403.0845,1992.3333333333333
1992,6,359.44,1.73156,402.729,1992.4166666666667
1992,7,357.15,1.72881,400.37025,1992.5
1992,8,354.99,1.7303499999999998,398.24875000000003,1992.5833333333333
1992,9,353.01,1.7346,396.375,1992.6666666666667
1992,10,353.41,1.73766,396.85150000000004,1992.75
1992,11,354.42,1.7392400000000001,397.901,1992.8333333333333
1992,12,355.68,1.7385599999999999,399.144,1992.9166666666667
1993,1,357.1,1.7357799999999999,400.4945,1993.0
1993,2,357.42,1.73436,400.779,1993.0833333333333
1993,3,358.59,1.7353800000000001,401.9745,1993.1666666666667
1993,4,359.39,1.7366,402.805,1993.25
1993,5,360.3,1.73501,403.67525,1993.3333333333333
1993,6,359.64,1.73087,402.91175,1993.4166666666667
1993,7,357.45,1.72801,400.65024999999997,1993.5
1993,8,355.76,1.73116,399.039,1993.5833333333333
1993,9,354.14,1.73844,397.601,1993.6666666666667
1993,10,354.23,1.7433599999999998,397.814,1993.75
1993,11,355.53,1.74523,399.16074999999995,1993.8333333333333
1993,12,357.03,1.7443,400.6375,1993.9166666666667
1994,1,358.36,1.74142,401.8955,1994.0
1994,2,359.04,1.7408800000000002,402.562,1994.0833333333333
1994,3,360.11,1.74195,403.65875,1994.1666666666667
1994,4,361.36,1.74195,404.90875,1994.25
1994,5,361.78,1.74065,405.29625,1994.3333333333333
1994,6,360.94,1.7368800000000002,404.362,1994.4166666666667
1994,7,359.51,1.7324000000000002,402.82,1994.5
1994,8,357.59,1.7340799999999998,400.94199999999995,1994.5833333333333
1994,9,355.86,1.7428800000000002,399.432,1994.6666666666667
1994,10,356.21,1.74975,399.95374999999996,1994.75
1994,11,357.65,1.75124,401.431,1994.8333333333333
1994,12,359.1,1.75161,402.89025000000004,1994.9166666666667
1995,1,360.04,1.75113,403.81825000000003,1995.0
1995,2,361.0,1.7495,404.7375,1995.0833333333333
1995,3,361.98,1.74899,405.70475,1995.1666666666667
1995,4,363.44,1.74943,407.17575,1995.25
1995,5,363.83,1.74766,407.5215,1995.3333333333333
1995,6,363.33,1.74281,406.90024999999997,1995.4166666666667
1995,7,361.78,1.7401600000000002,405.284,1995.5
1995,8,359.33,1.7435999999999998,402.91999999999996,1995.5833333333333
1995,9,358.32,1.74977,402.06425,1995.6666666666667
1995,10,358.14,1.75433,401.99825,1995.75
1995,11,359.61,1.75552,403.498,1995.8333333333333
1995,12,360.82,1.75386,404.6665,1995.9166666666667
1996,1,362.2,1.75224,406.006,1996.0
1996,2,363.36,1.75275,407.17875000000004,1996.0833333333333
1996,3,364.28,1.75221,408.08525,1996.1666666666667
1996,4,364.69,1.7495999999999998,408.43,1996.25
1996,5,365.25,1.74831,408.95775000000003,1996.3333333333333
1996,6,365.06,1.74603,408.71075,1996.4166666666667
1996,7,363.69,1.7420499999999999,407.24125,1996.5
1996,8,361.55,1.74431,405.15775,1996.5833333333333
1996,9,359.69,1.7526300000000001,403.50575,1996.6666666666667
1996,10,359.72,1.75888,403.692,1996.75
1996,11,361.04,1.76004,405.04100000000005,1996.8333333333333
1996,12,362.39,1.75692,406.313,1996.9166666666667
1997,1,363.24,1.75339,407.07475,1997.0
1997,2,364.21,1.75386,408.05649999999997,1997.0833333333333
1997,3,364.65,1.75567,408.54175,1997.1666666666667
